CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01005|460|431|000801000000000|VR|32
01|01005|460|431|000901005000000|VB|10996
01|01005|460|431|000901005000000|VII|15
01|01005|460|431|000901005000000|VN|993
01|01005|460|431|000901005000000|VR|34
01|01006|469|404|000100000000000|VB|3429
01|01006|469|404|000100000000000|VII|7
01|01006|469|404|000100000000000|VN|1026
01|01006|469|404|000100000000000|VR|33
01|01006|469|404|000201000000000|VB|3786
01|01006|469|404|000201000000000|VII|7
01|01006|469|404|000201000000000|VN|988
01|01006|469|404|000201000000000|VR|36
01|01006|469|404|000301000000000|VB|3914
01|01006|469|404|000301000000000|VII|7
01|01006|469|404|000301000000000|VN|1022
01|01006|469|404|000301000000000|VR|30
01|01006|469|404|000501000000000|VB|7887
01|01006|469|404|000501000000000|VII|7
01|01006|469|404|000501000000000|VN|951
01|01006|469|404|000501000000000|VR|28
01|01006|469|404|000801000000000|VB|5204
01|01006|469|404|000801000000000|VII|7
01|01006|469|404|000801000000000|VN|952
01|01006|469|404|000801000000000|VR|35
01|01006|469|404|000901006000000|VB|6742
01|01006|469|404|000901006000000|VII|7
01|01006|469|404|000901006000000|VN|939
01|01006|469|404|000901006000000|VR|36
01|01007|513|467|000100000000000|VB|4234
01|01007|513|467|000100000000000|VII|55
01|01007|513|467|000100000000000|VN|1183
01|01007|513|467|000100000000000|VR|48
01|01007|513|467|000201000000000|VB|5338
01|01007|513|467|000201000000000|VII|60
01|01007|513|467|000201000000000|VN|1129
01|01007|513|467|000201000000000|VR|46
01|01007|513|467|000301000000000|VB|5596
01|01007|513|467|000301000000000|VII|57
01|01007|513|467|000301000000000|VN|1143
01|01007|513|467|000301000000000|VR|49
01|01007|513|467|000501000000000|VB|10580
01|01007|513|467|000501000000000|VII|68
01|01007|513|467|000501000000000|VN|1062
01|01007|513|467|000501000000000|VR|45
01|01007|513|467|000801000000000|VB|7440
01|01007|513|467|000801000000000|VII|60
01|01007|513|467|000801000000000|VN|1082
01|01007|513|467|000801000000000|VR|44
01|01007|513|467|000901007000000|VB|12472
01|01007|513|467|000901007000000|VII|76
01|01007|513|467|000901007000000|VN|1058
01|01007|513|467|000901007000000|VR|62
01|01008|416|397|000100000000000|VB|3688
01|01008|416|397|000100000000000|VII|68
01|01008|416|397|000100000000000|VN|1205
01|01008|416|397|000100000000000|VR|45
01|01008|416|397|000201000000000|VB|5763
01|01008|416|397|000201000000000|VII|50
01|01008|416|397|000201000000000|VN|1084
01|01008|416|397|000201000000000|VR|41
01|01008|416|397|000301000000000|VB|6178
01|01008|416|397|000301000000000|VII|49
01|01008|416|397|000301000000000|VN|1063
01|01008|416|397|000301000000000|VR|42
01|01008|416|397|000501000000000|VB|9409
01|01008|416|397|000501000000000|VII|80
01|01008|416|397|000501000000000|VN|1064
01|01008|416|397|000501000000000|VR|52
01|01008|416|397|000801000000000|VB|7688
01|01008|416|397|000801000000000|VII|55
01|01008|416|397|000801000000000|VN|1044
01|01008|416|397|000801000000000|VR|47
01|01008|416|397|000901008000000|VB|8418
01|01008|416|397|000901008000000|VII|59
01|01008|416|397|000901008000000|VN|1080
01|01008|416|397|000901008000000|VR|50
01|01009|432|418|000100000000000|VB|3729
01|01009|432|418|000100000000000|VII|30
01|01009|432|418|000100000000000|VN|1227
01|01009|432|418|000100000000000|VR|27
01|01009|432|418|000201000000000|VB|4968
01|01009|432|418|000201000000000|VII|28
01|01009|432|418|000201000000000|VN|1152
01|01009|432|418|000201000000000|VR|26
01|01009|432|418|000301000000000|VB|5229
01|01009|432|418|000301000000000|VII|32
01|01009|432|418|000301000000000|VN|1148
01|01009|432|418|000301000000000|VR|25
01|01009|432|418|000501000000000|VB|9795
01|01009|432|418|000501000000000|VII|66
01|01009|432|418|000501000000000|VN|1128
01|01009|432|418|000501000000000|VR|29
01|01009|432|418|000801000000000|VB|6917
01|01009|432|418|000801000000000|VII|33
01|01009|432|418|000801000000000|VN|1139
01|01009|432|418|000801000000000|VR|24
01|01009|432|418|000901009000000|VB|7980
01|01009|432|418|000901009000000|VII|35
01|01009|432|418|000901009000000|VN|1134
01|01009|432|418|000901009000000|VR|32
01|01010|436|413|000100000000000|VB|3860
01|01010|436|413|000100000000000|VII|22
01|01010|436|413|000100000000000|VN|1297
01|01010|436|413|000100000000000|VR|59
01|01010|436|413|000201000000000|VB|4620
01|01010|436|413|000201000000000|VII|25
01|01010|436|413|000201000000000|VN|1236
01|01010|436|413|000201000000000|VR|46
01|01010|436|413|000301000000000|VB|4996
01|01010|436|413|000301000000000|VII|28
01|01010|436|413|000301000000000|VN|1229
01|01010|436|413|000301000000000|VR|56
01|01010|436|413|000501000000000|VB|9594
01|01010|436|413|000501000000000|VII|41
01|01010|436|413|000501000000000|VN|1180
01|01010|436|413|000501000000000|VR|74
01|01010|436|413|000801000000000|VB|6770
01|01010|436|413|000801000000000|VII|26
01|01010|436|413|000801000000000|VN|1197
01|01010|436|413|000801000000000|VR|61
01|01010|436|413|000901010000000|VB|8419
01|01010|436|413|000901010000000|VII|30
01|01010|436|413|000901010000000|VN|1179
01|01010|436|413|000901010000000|VR|71
01|01011|503|482|000100000000000|VB|4213
01|01011|503|482|000100000000000|VII|21
01|01011|503|482|000100000000000|VN|1488
01|01011|503|482|000100000000000|VR|41
01|01011|503|482|000201000000000|VB|4785
01|01011|503|482|000201000000000|VII|20
01|01011|503|482|000201000000000|VN|1423
01|01011|503|482|000201000000000|VR|35
01|01011|503|482|000301000000000|VB|5015
01|01011|503|482|000301000000000|VII|20
01|01011|503|482|000301000000000|VN|1404
01|01011|503|482|000301000000000|VR|35
01|01011|503|482|000501000000000|VB|10337
01|01011|503|482|000501000000000|VII|20
01|01011|503|482|000501000000000|VN|1333
01|01011|503|482|000501000000000|VR|34
01|01011|503|482|000801000000000|VB|6951
01|01011|503|482|000801000000000|VII|20
01|01011|503|482|000801000000000|VN|1314
01|01011|503|482|000801000000000|VR|35
01|01011|503|482|000901011000000|VB|8686
01|01011|503|482|000901011000000|VII|20
01|01011|503|482|000901011000000|VN|1327
01|01011|503|482|000901011000000|VR|42
01|01012|554|523|000100000000000|VB|4514
01|01012|554|523|000100000000000|VII|16
01|01012|554|523|000100000000000|VN|1451
01|01012|554|523|000100000000000|VR|31
01|01012|554|523|000201000000000|VB|5123
01|01012|554|523|000201000000000|VII|9
01|01012|554|523|000201000000000|VN|1423
01|01012|554|523|000201000000000|VR|32
01|01012|554|523|000301000000000|VB|5409
01|01012|554|523|000301000000000|VII|9
01|01012|554|523|000301000000000|VN|1424
01|01012|554|523|000301000000000|VR|33
01|01012|554|523|000501000000000|VB|10920
01|01012|554|523|000501000000000|VII|9
01|01012|554|523|000501000000000|VN|1407
01|01012|554|523|000501000000000|VR|34
01|01012|554|523|000801000000000|VB|7341
01|01012|554|523|000801000000000|VII|9
01|01012|554|523|000801000000000|VN|1350
01|01012|554|523|000801000000000|VR|35
01|01012|554|523|000901012000000|VB|13405
01|01012|554|523|000901012000000|VII|9
01|01012|554|523|000901012000000|VN|1305
01|01012|554|523|000901012000000|VR|36
01|01013|640|564|000100000000000|VB|4401
01|01013|640|564|000100000000000|VII|15
01|01013|640|564|000100000000000|VN|1263
01|01013|640|564|000100000000000|VR|30
01|01013|640|564|000201000000000|VB|5152
01|01013|640|564|000201000000000|VII|13
01|01013|640|564|000201000000000|VN|1230
01|01013|640|564|000201000000000|VR|29
01|01013|640|564|000301000000000|VB|5232
01|01013|640|564|000301000000000|VII|14
01|01013|640|564|000301000000000|VN|1237
01|01013|640|564|000301000000000|VR|29
01|01013|640|564|000501000000000|VB|10516
01|01013|640|564|000501000000000|VII|14
01|01013|640|564|000501000000000|VN|1156
01|01013|640|564|000501000000000|VR|26
01|01013|640|564|000801000000000|VB|6747
01|01013|640|564|000801000000000|VII|12
01|01013|640|564|000801000000000|VN|1184
01|01013|640|564|000801000000000|VR|26
01|01013|640|564|000901013000000|VB|12346
01|01013|640|564|000901013000000|VII|13
01|01013|640|564|000901013000000|VN|1129
01|01013|640|564|000901013000000|VR|33
01|01014|615|571|000100000000000|VB|3793
01|01014|615|571|000100000000000|VII|26
01|01014|615|571|000100000000000|VN|1108
01|01014|615|571|000100000000000|VR|35
01|01014|615|571|000201000000000|VB|4728
01|01014|615|571|000201000000000|VII|21
01|01014|615|571|000201000000000|VN|1144
01|01014|615|571|000201000000000|VR|29
01|01014|615|571|000301000000000|VB|4947
01|01014|615|571|000301000000000|VII|21
01|01014|615|571|000301000000000|VN|1138
01|01014|615|571|000301000000000|VR|32
01|01014|615|571|000501000000000|VB|9958
01|01014|615|571|000501000000000|VII|22
01|01014|615|571|000501000000000|VN|1031
01|01014|615|571|000501000000000|VR|31
01|01014|615|571|000801000000000|VB|6402
01|01014|615|571|000801000000000|VII|22
01|01014|615|571|000801000000000|VN|1054
01|01014|615|571|000801000000000|VR|29
01|01014|615|571|000901014000000|VB|7631
01|01014|615|571|000901014000000|VII|41
01|01014|615|571|000901014000000|VN|1029
01|01014|615|571|000901014000000|VR|37
01|01015|485|439|000100000000000|VB|4045
01|01015|485|439|000100000000000|VII|15
01|01015|485|439|000100000000000|VN|1209
01|01015|485|439|000100000000000|VR|60
01|01015|485|439|000201000000000|VB|4465
01|01015|485|439|000201000000000|VII|16
01|01015|485|439|000201000000000|VN|1199
01|01015|485|439|000201000000000|VR|58
01|01015|485|439|000301000000000|VB|4700
01|01015|485|439|000301000000000|VII|17
01|01015|485|439|000301000000000|VN|1192
01|01015|485|439|000301000000000|VR|56
01|01015|485|439|000501000000000|VB|8739
01|01015|485|439|000501000000000|VII|15
01|01015|485|439|000501000000000|VN|1128
01|01015|485|439|000501000000000|VR|57
01|01015|485|439|000801000000000|VB|6190
01|01015|485|439|000801000000000|VII|16
01|01015|485|439|000801000000000|VN|1110
01|01015|485|439|000801000000000|VR|58
01|01015|485|439|000901015000000|VB|8182
01|01015|485|439|000901015000000|VII|18
01|01015|485|439|000901015000000|VN|1153
01|01015|485|439|000901015000000|VR|63
02|000602000010000|13048|9423|000602000010000|CSCCC|1829
02|000602000010000|13048|9423|000602000010000|VB|176170
02|000602000010000|13048|9423|000602000010000|VII|1245
02|000602000010000|13048|9423|000602000010000|VN|15881
02|000602000010000|13048|9423|000602000010000|VR|1036
02|000602000040000|1600|1438|000602000040000|CSCCC|362
02|000602000040000|1600|1438|000602000040000|VB|27702
02|000602000040000|1600|1438|000602000040000|VII|61
02|000602000040000|1600|1438|000602000040000|VN|2208
02|000602000040000|1600|1438|000602000040000|VR|55
02|000602000050000|3608|2536|000602000050000|CSCCC|607
02|000602000050000|3608|2536|000602000050000|VB|59716
02|000602000050000|3608|2536|000602000050000|VII|335
02|000602000050000|3608|2536|000602000050000|VN|5240
02|000602000050000|3608|2536|000602000050000|VR|226
02|000602000070000|833|705|000602000070000|CSCCC|186
02|000602000070000|833|705|000602000070000|VB|17819
02|000602000070000|833|705|000602000070000|VII|24
02|000602000070000|833|705|000602000070000|VN|1335
02|000602000070000|833|705|000602000070000|VR|54
02|000702000020000|1825|1549|000702000020000|CSCCC|321
02|000702000020000|1825|1549|000702000020000|VB|35989
02|000702000020000|1825|1549|000702000020000|VII|76
02|000702000020000|1825|1549|000702000020000|VN|2405
02|000702000020000|1825|1549|000702000020000|VR|69
02|000702000030000|13187|9689|000702000030000|CSCCC|2150
02|000702000030000|13187|9689|000702000030000|VB|181303
02|000702000030000|13187|9689|000702000030000|VII|1253
02|000702000030000|13187|9689|000702000030000|VN|14706
02|000702000030000|13187|9689|000702000030000|VR|833
02|000702000060000|1920|1678|000702000060000|CSCCC|531
02|000702000060000|1920|1678|000702000060000|VB|41343
02|000702000060000|1920|1678|000702000060000|VII|197
02|000702000060000|1920|1678|000702000060000|VN|3396
02|000702000060000|1920|1678|000702000060000|VR|114
02|000702000080000|1683|566|000702000080000|CSCCC|224
02|000702000080000|1683|566|000702000080000|VB|7471
02|000702000080000|1683|566|000702000080000|VII|43
02|000702000080000|1683|566|000702000080000|VN|1056
02|000702000080000|1683|566|000702000080000|VR|47
02|02001|46|44|000100000000000|CSCCC|20
02|02001|46|44|000100000000000|VB|501
02|02001|46|44|000100000000000|VII|0
02|02001|46|44|000100000000000|VN|60
02|02001|46|44|000100000000000|VR|1
02|02001|46|44|000302000000000|CSCCC|12
02|02001|46|44|000302000000000|VB|912
02|02001|46|44|000302000000000|VII|2
02|02001|46|44|000302000000000|VN|60
02|02001|46|44|000302000000000|VR|1
02|02001|46|44|000402000000000|CSCCC|12
02|02001|46|44|000402000000000|VB|767
02|02001|46|44|000402000000000|VII|3
02|02001|46|44|000402000000000|VN|58
02|02001|46|44|000402000000000|VR|1
02|02001|46|44|001002001000000|CSCCC|12
02|02001|46|44|001002001000000|VB|600
02|02001|46|44|001002001000000|VII|3
02|02001|46|44|001002001000000|VN|58
02|02001|46|44|001002001000000|VR|1
02|02002|30|29|000100000000000|CSCCC|19
02|02002|30|29|000100000000000|VB|407
02|02002|30|29|000100000000000|VII|1
02|02002|30|29|000100000000000|VN|19
02|02002|30|29|000100000000000|VR|0
02|02002|30|29|000302000000000|CSCCC|19
02|02002|30|29|000302000000000|VB|683
02|02002|30|29|000302000000000|VII|1
02|02002|30|29|000302000000000|VN|21
02|02002|30|29|000302000000000|VR|0
02|02002|30|29|000402000000000|CSCCC|19
02|02002|30|29|000402000000000|VB|590
02|02002|30|29|000402000000000|VII|1
02|02002|30|29|000402000000000|VN|20
02|02002|30|29|000402000000000|VR|0
02|02002|30|29|001002002000000|CSCCC|17
02|02002|30|29|001002002000000|VB|456
02|02002|30|29|001002002000000|VII|1
02|02002|30|29|001002002000000|VN|20
02|02002|30|29|001002002000000|VR|0
02|02003|1294|1002|000100000000000|CSCCC|148
02|02003|1294|1002|000100000000000|VB|7721
02|02003|1294|1002|000100000000000|VII|68
02|02003|1294|1002|000100000000000|VN|2041
02|02003|1294|1002|000100000000000|VR|73
02|02003|1294|1002|000302000000000|CSCCC|203
02|02003|1294|1002|000302000000000|VB|19983
02|02003|1294|1002|000302000000000|VII|67
02|02003|1294|1002|000302000000000|VN|2121
02|02003|1294|1002|000302000000000|VR|74
02|02003|1294|1002|000402000000000|CSCCC|208
02|02003|1294|1002|000402000000000|VB|15679
02|02003|1294|1002|000402000000000|VII|96
02|02003|1294|1002|000402000000000|VN|2034
02|02003|1294|1002|000402000000000|VR|74
02|02003|1294|1002|001002003000000|CSCCC|217
02|02003|1294|1002|001002003000000|VB|18459
02|02003|1294|1002|001002003000000|VII|98
02|02003|1294|1002|001002003000000|VN|2082
02|02003|1294|1002|001002003000000|VR|76
02|02004|860|707|000100000000000|CSCCC|232
02|02004|860|707|000100000000000|VB|4536
02|02004|860|707|000100000000000|VII|31
02|02004|860|707|000100000000000|VN|901
02|02004|860|707|000100000000000|VR|27
02|02004|860|707|000302000000000|CSCCC|222
02|02004|860|707|000302000000000|VB|11073
02|02004|860|707|000302000000000|VII|29
02|02004|860|707|000302000000000|VN|898
02|02004|860|707|000302000000000|VR|29
02|02004|860|707|000402000000000|CSCCC|221
02|02004|860|707|000402000000000|VB|8730
02|02004|860|707|000402000000000|VII|39
02|02004|860|707|000402000000000|VN|900
02|02004|860|707|000402000000000|VR|35
02|02004|860|707|001002004000000|CSCCC|253
02|02004|860|707|001002004000000|VB|11925
02|02004|860|707|001002004000000|VII|39
02|02004|860|707|001002004000000|VN|930
02|02004|860|707|001002004000000|VR|30
02|02005|60|55|000100000000000|CSCCC|15
02|02005|60|55|000100000000000|VB|663
02|02005|60|55|000100000000000|VII|4
02|02005|60|55|000100000000000|VN|68
02|02005|60|55|000100000000000|VR|0
02|02005|60|55|000302000000000|CSCCC|12
02|02005|60|55|000302000000000|VB|1461
02|02005|60|55|000302000000000|VII|4
02|02005|60|55|000302000000000|VN|58
02|02005|60|55|000302000000000|VR|0
02|02005|60|55|000402000000000|CSCCC|12
02|02005|60|55|000402000000000|VB|1207
02|02005|60|55|000402000000000|VII|4
02|02005|60|55|000402000000000|VN|60
02|02005|60|55|000402000000000|VR|0
02|02005|60|55|001002005000000|CSCCC|8
02|02005|60|55|001002005000000|VB|923
02|02005|60|55|001002005000000|VII|4
02|02005|60|55|001002005000000|VN|59
02|02005|60|55|001002005000000|VR|0
02|02006|173|154|000100000000000|CSCCC|23
02|02006|173|154|000100000000000|VB|1826
02|02006|173|154|000100000000000|VII|2
02|02006|173|154|000100000000000|VN|447
02|02006|173|154|000100000000000|VR|4
02|02006|173|154|000302000000000|CSCCC|22
02|02006|173|154|000302000000000|VB|3994
02|02006|173|154|000302000000000|VII|2
02|02006|173|154|000302000000000|VN|400
02|02006|173|154|000302000000000|VR|4
02|02006|173|154|000402000000000|CSCCC|22
02|02006|173|154|000402000000000|VB|3086
02|02006|173|154|000402000000000|VII|2
02|02006|173|154|000402000000000|VN|409
02|02006|173|154|000402000000000|VR|4
02|02006|173|154|001002006000000|CSCCC|22
02|02006|173|154|001002006000000|VB|2581
02|02006|173|154|001002006000000|VII|3
02|02006|173|154|001002006000000|VN|476
02|02006|173|154|001002006000000|VR|3
02|02007|734|630|000100000000000|CSCCC|158
02|02007|734|630|000100000000000|VB|5832
02|02007|734|630|000100000000000|VII|121
02|02007|734|630|000100000000000|VN|1844
02|02007|734|630|000100000000000|VR|43
02|02007|734|630|000302000000000|CSCCC|143
02|02007|734|630|000302000000000|VB|16547
02|02007|734|630|000302000000000|VII|120
02|02007|734|630|000302000000000|VN|1712
02|02007|734|630|000302000000000|VR|38
02|02007|734|630|000402000000000|CSCCC|143
02|02007|734|630|000402000000000|VB|10035
02|02007|734|630|000402000000000|VII|133
02|02007|734|630|000402000000000|VN|1717
02|02007|734|630|000402000000000|VR|37
02|02007|734|630|001002007000000|CSCCC|142
02|02007|734|630|001002007000000|VB|18309
02|02007|734|630|001002007000000|VII|198
02|02007|734|630|001002007000000|VN|1691
02|02007|734|630|001002007000000|VR|39
02|02008|116|97|000100000000000|CSCCC|20
02|02008|116|97|000100000000000|VB|1315
02|02008|116|97|000100000000000|VII|7
02|02008|116|97|000100000000000|VN|192
02|02008|116|97|000100000000000|VR|2
02|02008|116|97|000302000000000|CSCCC|18
02|02008|116|97|000302000000000|VB|2725
02|02008|116|97|000302000000000|VII|7
02|02008|116|97|000302000000000|VN|184
02|02008|116|97|000302000000000|VR|2
02|02008|116|97|000402000000000|CSCCC|18
02|02008|116|97|000402000000000|VB|2155
02|02008|116|97|000402000000000|VII|7
02|02008|116|97|000402000000000|VN|174
02|02008|116|97|000402000000000|VR|2
02|02008|116|97|001002008000000|CSCCC|18
02|02008|116|97|001002008000000|VB|1536
02|02008|116|97|001002008000000|VII|7
02|02008|116|97|001002008000000|VN|224
02|02008|116|97|001002008000000|VR|3
02|02009|89|82|000100000000000|CSCCC|8
02|02009|89|82|000100000000000|VB|1144
02|02009|89|82|000100000000000|VII|0
02|02009|89|82|000100000000000|VN|173
02|02009|89|82|000100000000000|VR|14
02|02009|89|82|000302000000000|CSCCC|8
02|02009|89|82|000302000000000|VB|2176
02|02009|89|82|000302000000000|VII|0
02|02009|89|82|000302000000000|VN|162
02|02009|89|82|000302000000000|VR|14
02|02009|89|82|000402000000000|CSCCC|8
02|02009|89|82|000402000000000|VB|1820
02|02009|89|82|000402000000000|VII|0
02|02009|89|82|000402000000000|VN|162
02|02009|89|82|000402000000000|VR|15
02|02009|89|82|001002009000000|CSCCC|8
02|02009|89|82|001002009000000|VB|1098
02|02009|89|82|001002009000000|VII|0
02|02009|89|82|001002009000000|VN|192
02|02009|89|82|001002009000000|VR|18
02|02010|75|69|000100000000000|CSCCC|17
02|02010|75|69|000100000000000|VB|714
02|02010|75|69|000100000000000|VII|1
02|02010|75|69|000100000000000|VN|76
02|02010|75|69|000100000000000|VR|1
02|02010|75|69|000302000000000|CSCCC|17
02|02010|75|69|000302000000000|VB|1612
02|02010|75|69|000302000000000|VII|1
02|02010|75|69|000302000000000|VN|71
02|02010|75|69|000302000000000|VR|1
02|02010|75|69|000402000000000|CSCCC|17
02|02010|75|69|000402000000000|VB|1337
02|02010|75|69|000402000000000|VII|1
02|02010|75|69|000402000000000|VN|66
02|02010|75|69|000402000000000|VR|1
02|02010|75|69|001002010000000|CSCCC|17
02|02010|75|69|001002010000000|VB|1023
02|02010|75|69|001002010000000|VII|1
02|02010|75|69|001002010000000|VN|70
02|02010|75|69|001002010000000|VR|1
02|02011|769|552|000100000000000|CSCCC|147
02|02011|769|552|000100000000000|VB|4831
02|02011|769|552|000100000000000|VII|66
02|02011|769|552|000100000000000|VN|649
02|02011|769|552|000100000000000|VR|55
02|02011|769|552|000302000000000|CSCCC|183
02|02011|769|552|000302000000000|VB|12700
02|02011|769|552|000302000000000|VII|66
02|02011|769|552|000302000000000|VN|628
02|02011|769|552|000302000000000|VR|56
02|02011|769|552|000402000000000|CSCCC|161
02|02011|769|552|000402000000000|VB|9398
02|02011|769|552|000402000000000|VII|77
02|02011|769|552|000402000000000|VN|634
02|02011|769|552|000402000000000|VR|59
02|02011|769|552|001002011000000|CSCCC|167
02|02011|769|552|001002011000000|VB|11519
02|02011|769|552|001002011000000|VII|75
02|02011|769|552|001002011000000|VN|691
02|02011|769|552|001002011000000|VR|56
02|02012|233|155|000100000000000|CSCCC|88
02|02012|233|155|000100000000000|VB|1454
02|02012|233|155|000100000000000|VII|7
02|02012|233|155|000100000000000|VN|210
02|02012|233|155|000100000000000|VR|17
02|02012|233|155|000302000000000|CSCCC|125
02|02012|233|155|000302000000000|VB|2757
02|02012|233|155|000302000000000|VII|7
02|02012|233|155|000302000000000|VN|202
02|02012|233|155|000302000000000|VR|15
02|02012|233|155|000402000000000|CSCCC|110
02|02012|233|155|000402000000000|VB|2252
02|02012|233|155|000402000000000|VII|5
02|02012|233|155|000402000000000|VN|204
02|02012|233|155|000402000000000|VR|16
02|02012|233|155|001002012000000|CSCCC|112
02|02012|233|155|001002012000000|VB|2603
02|02012|233|155|001002012000000|VII|6
02|02012|233|155|001002012000000|VN|211
02|02012|233|155|001002012000000|VR|17
02|02013|97|89|000100000000000|CSCCC|42
02|02013|97|89|000100000000000|VB|969
02|02013|97|89|000100000000000|VII|8
02|02013|97|89|000100000000000|VN|134
02|02013|97|89|000100000000000|VR|12
02|02013|97|89|000302000000000|CSCCC|35
02|02013|97|89|000302000000000|VB|2090
02|02013|97|89|000302000000000|VII|8
02|02013|97|89|000302000000000|VN|135
02|02013|97|89|000302000000000|VR|12
02|02013|97|89|000402000000000|CSCCC|35
02|02013|97|89|000402000000000|VB|1325
02|02013|97|89|000402000000000|VII|8
02|02013|97|89|000402000000000|VN|155
02|02013|97|89|000402000000000|VR|13
02|02013|97|89|001002013000000|CSCCC|35
02|02013|97|89|001002013000000|VB|1348
02|02013|97|89|001002013000000|VII|8
02|02013|97|89|001002013000000|VN|116
02|02013|97|89|001002013000000|VR|12
