CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|512|471|00010000000|CSCCC|16320
01|01001|512|471|00010000000|VB|6936
01|01001|512|471|00010000000|VII|12240
01|01001|512|471|00010000000|VN|4080
01|01001|512|471|00010000000|VR|8160
01|01001|512|471|00020100000|CSCCC|16320
01|01001|512|471|00020100000|VB|6936
01|01001|512|471|00020100000|VII|12240
01|01001|512|471|00020100000|VN|4080
01|01001|512|471|00020100000|VR|8160
01|01001|512|471|00030100000|CSCCC|16320
01|01001|512|471|00030100000|VB|6936
01|01001|512|471|00030100000|VII|12240
01|01001|512|471|00030100000|VN|4080
01|01001|512|471|00030100000|VR|8160
01|01001|512|471|00050100000|CSCCC|16320
01|01001|512|471|00050100000|VB|6936
01|01001|512|471|00050100000|VII|12240
01|01001|512|471|00050100000|VN|4080
01|01001|512|471|00050100000|VR|8160
01|01001|512|471|00080100000|CSCCC|16320
01|01001|512|471|00080100000|VB|6936
01|01001|512|471|00080100000|VII|12240
01|01001|512|471|00080100000|VN|4080
01|01001|512|471|00080100000|VR|8160
01|01001|512|471|00090100100|CSCCC|16320
01|01001|512|471|00090100100|VB|6936
01|01001|512|471|00090100100|VII|12240
01|01001|512|471|00090100100|VN|4080
01|01001|512|471|00090100100|VR|8160
01|01002|412|362|00010000000|CSCCC|12320
01|01002|412|362|00010000000|VB|5236
01|01002|412|362|00010000000|VII|9240
01|01002|412|362|00010000000|VN|3080
01|01002|412|362|00010000000|VR|6160
01|01002|412|362|00020100000|CSCCC|12320
01|01002|412|362|00020100000|VB|5236
01|01002|412|362|00020100000|VII|9240
01|01002|412|362|00020100000|VN|3080
01|01002|412|362|00020100000|VR|6160
01|01002|412|362|00030100000|CSCCC|12320
01|01002|412|362|00030100000|VB|5236
01|01002|412|362|00030100000|VII|9240
01|01002|412|362|00030100000|VN|3080
01|01002|412|362|00030100000|VR|6160
01|01002|412|362|00050100000|CSCCC|12320
01|01002|412|362|00050100000|VB|5236
01|01002|412|362|00050100000|VII|9240
01|01002|412|362|00050100000|VN|3080
01|01002|412|362|00050100000|VR|6160
01|01002|412|362|00080100000|CSCCC|12320
01|01002|412|362|00080100000|VB|5236
01|01002|412|362|00080100000|VII|9240
01|01002|412|362|00080100000|VN|3080
01|01002|412|362|00080100000|VR|6160
01|01002|412|362|00090100200|CSCCC|12320
01|01002|412|362|00090100200|VB|5236
01|01002|412|362|00090100200|VII|9240
01|01002|412|362|00090100200|VN|3080
01|01002|412|362|00090100200|VR|6160
01|01003|470|409|00010000000|CSCCC|14080
01|01003|470|409|00010000000|VB|5984
01|01003|470|409|00010000000|VII|10560
01|01003|470|409|00010000000|VN|3520
01|01003|470|409|00010000000|VR|7040
01|01003|470|409|00020100000|CSCCC|14080
01|01003|470|409|00020100000|VB|5984
01|01003|470|409|00020100000|VII|10560
01|01003|470|409|00020100000|VN|3520
01|01003|470|409|00020100000|VR|7040
01|01003|470|409|00030100000|CSCCC|14080
01|01003|470|409|00030100000|VB|5984
01|01003|470|409|00030100000|VII|10560
01|01003|470|409|00030100000|VN|3520
01|01003|470|409|00030100000|VR|7040
01|01003|470|409|00050100000|CSCCC|14080
01|01003|470|409|00050100000|VB|5984
01|01003|470|409|00050100000|VII|10560
01|01003|470|409|00050100000|VN|3520
01|01003|470|409|00050100000|VR|7040
01|01003|470|409|00080100000|CSCCC|14080
01|01003|470|409|00080100000|VB|5984
01|01003|470|409|00080100000|VII|10560
01|01003|470|409|00080100000|VN|3520
01|01003|470|409|00080100000|VR|7040
01|01003|470|409|00090100300|CSCCC|14080
01|01003|470|409|00090100300|VB|5984
01|01003|470|409|00090100300|VII|10560
01|01003|470|409|00090100300|VN|3520
01|01003|470|409|00090100300|VR|7040
01|01004|520|520|00010000000|CSCCC|18040
01|01004|520|520|00010000000|VB|7667
01|01004|520|520|00010000000|VII|13530
01|01004|520|520|00010000000|VN|4510
01|01004|520|520|00010000000|VR|9020
01|01004|520|520|00020100000|CSCCC|18040
01|01004|520|520|00020100000|VB|7667
01|01004|520|520|00020100000|VII|13530
01|01004|520|520|00020100000|VN|4510
01|01004|520|520|00020100000|VR|9020
01|01004|520|520|00030100000|CSCCC|18040
01|01004|520|520|00030100000|VB|7667
01|01004|520|520|00030100000|VII|13530
01|01004|520|520|00030100000|VN|4510
01|01004|520|520|00030100000|VR|9020
01|01004|520|520|00050100000|CSCCC|18040
01|01004|520|520|00050100000|VB|7667
01|01004|520|520|00050100000|VII|13530
01|01004|520|520|00050100000|VN|4510
01|01004|520|520|00050100000|VR|9020
01|01004|520|520|00080100000|CSCCC|18040
01|01004|520|520|00080100000|VB|7667
01|01004|520|520|00080100000|VII|13530
01|01004|520|520|00080100000|VN|4510
01|01004|520|520|00080100000|VR|9020
01|01004|520|520|00090100400|CSCCC|18040
01|01004|520|520|00090100400|VB|7667
01|01004|520|520|00090100400|VII|13530
01|01004|520|520|00090100400|VN|4510
01|01004|520|520|00090100400|VR|9020
01|01005|443|386|00010000000|CSCCC|13160
01|01005|443|386|00010000000|VB|5593
01|01005|443|386|00010000000|VII|9870
01|01005|443|386|00010000000|VN|3290
01|01005|443|386|00010000000|VR|6580
01|01005|443|386|00020100000|CSCCC|13160
01|01005|443|386|00020100000|VB|5593
01|01005|443|386|00020100000|VII|9870
01|01005|443|386|00020100000|VN|3290
01|01005|443|386|00020100000|VR|6580
01|01005|443|386|00030100000|CSCCC|13160
01|01005|443|386|00030100000|VB|5593
01|01005|443|386|00030100000|VII|9870
01|01005|443|386|00030100000|VN|3290
01|01005|443|386|00030100000|VR|6580
01|01005|443|386|00050100000|CSCCC|13160
01|01005|443|386|00050100000|VB|5593
01|01005|443|386|00050100000|VII|9870
01|01005|443|386|00050100000|VN|3290
01|01005|443|386|00050100000|VR|6580
01|01005|443|386|00080100000|CSCCC|13160
01|01005|443|386|00080100000|VB|5593
01|01005|443|386|00080100000|VII|9870
01|01005|443|386|00080100000|VN|3290
01|01005|443|386|00080100000|VR|6580
01|01005|443|386|00090100500|CSCCC|13160
01|01005|443|386|00090100500|VB|5593
01|01005|443|386|00090100500|VII|9870
01|01005|443|386|00090100500|VN|3290
01|01005|443|386|00090100500|VR|6580
01|01006|458|406|00010000000|CSCCC|14200
01|01006|458|406|00010000000|VB|6035
01|01006|458|406|00010000000|VII|10650
01|01006|458|406|00010000000|VN|3550
01|01006|458|406|00010000000|VR|7100
01|01006|458|406|00020100000|CSCCC|14200
01|01006|458|406|00020100000|VB|6035
01|01006|458|406|00020100000|VII|10650
01|01006|458|406|00020100000|VN|3550
01|01006|458|406|00020100000|VR|7100
01|01006|458|406|00030100000|CSCCC|14200
01|01006|458|406|00030100000|VB|6035
01|01006|458|406|00030100000|VII|10650
01|01006|458|406|00030100000|VN|3550
01|01006|458|406|00030100000|VR|7100
01|01006|458|406|00050100000|CSCCC|14200
01|01006|458|406|00050100000|VB|6035
01|01006|458|406|00050100000|VII|10650
01|01006|458|406|00050100000|VN|3550
01|01006|458|406|00050100000|VR|7100
01|01006|458|406|00080100000|CSCCC|14200
01|01006|458|406|00080100000|VB|6035
01|01006|458|406|00080100000|VII|10650
01|01006|458|406|00080100000|VN|3550
01|01006|458|406|00080100000|VR|7100
01|01006|458|406|00090100600|CSCCC|14200
01|01006|458|406|00090100600|VB|6035
01|01006|458|406|00090100600|VII|10650
01|01006|458|406|00090100600|VN|3550
01|01006|458|406|00090100600|VR|7100
01|01007|478|436|00010000000|CSCCC|14920
01|01007|478|436|00010000000|VB|6341
01|01007|478|436|00010000000|VII|11190
01|01007|478|436|00010000000|VN|3730
01|01007|478|436|00010000000|VR|7460
01|01007|478|436|00020100000|CSCCC|14920
01|01007|478|436|00020100000|VB|6341
01|01007|478|436|00020100000|VII|11190
01|01007|478|436|00020100000|VN|3730
01|01007|478|436|00020100000|VR|7460
01|01007|478|436|00030100000|CSCCC|14920
01|01007|478|436|00030100000|VB|6341
01|01007|478|436|00030100000|VII|11190
01|01007|478|436|00030100000|VN|3730
01|01007|478|436|00030100000|VR|7460
01|01007|478|436|00050100000|CSCCC|14920
01|01007|478|436|00050100000|VB|6341
01|01007|478|436|00050100000|VII|11190
01|01007|478|436|00050100000|VN|3730
01|01007|478|436|00050100000|VR|7460
01|01007|478|436|00080100000|CSCCC|14920
01|01007|478|436|00080100000|VB|6341
01|01007|478|436|00080100000|VII|11190
01|01007|478|436|00080100000|VN|3730
01|01007|478|436|00080100000|VR|7460
01|01007|478|436|00090100700|CSCCC|14920
01|01007|478|436|00090100700|VB|6341
01|01007|478|436|00090100700|VII|11190
01|01007|478|436|00090100700|VN|3730
01|01007|478|436|00090100700|VR|7460
01|01008|391|348|00010000000|CSCCC|11920
01|01008|391|348|00010000000|VB|5066
01|01008|391|348|00010000000|VII|8940
01|01008|391|348|00010000000|VN|2980
01|01008|391|348|00010000000|VR|5960
01|01008|391|348|00020100000|CSCCC|11920
01|01008|391|348|00020100000|VB|5066
01|01008|391|348|00020100000|VII|8940
01|01008|391|348|00020100000|VN|2980
01|01008|391|348|00020100000|VR|5960
01|01008|391|348|00030100000|CSCCC|11920
01|01008|391|348|00030100000|VB|5066
01|01008|391|348|00030100000|VII|8940
01|01008|391|348|00030100000|VN|2980
01|01008|391|348|00030100000|VR|5960
01|01008|391|348|00050100000|CSCCC|11920
01|01008|391|348|00050100000|VB|5066
01|01008|391|348|00050100000|VII|8940
01|01008|391|348|00050100000|VN|2980
01|01008|391|348|00050100000|VR|5960
01|01008|391|348|00080100000|CSCCC|11920
01|01008|391|348|00080100000|VB|5066
01|01008|391|348|00080100000|VII|8940
01|01008|391|348|00080100000|VN|2980
01|01008|391|348|00080100000|VR|5960
01|01008|391|348|00090100800|CSCCC|11920
01|01008|391|348|00090100800|VB|5066
01|01008|391|348|00090100800|VII|8940
01|01008|391|348|00090100800|VN|2980
01|01008|391|348|00090100800|VR|5960
01|01009|416|364|00010000000|CSCCC|11760
01|01009|416|364|00010000000|VB|4998
01|01009|416|364|00010000000|VII|8820
01|01009|416|364|00010000000|VN|2940
01|01009|416|364|00010000000|VR|5880
01|01009|416|364|00020100000|CSCCC|11760
01|01009|416|364|00020100000|VB|4998
01|01009|416|364|00020100000|VII|8820
01|01009|416|364|00020100000|VN|2940
01|01009|416|364|00020100000|VR|5880
01|01009|416|364|00030100000|CSCCC|11760
01|01009|416|364|00030100000|VB|4998
01|01009|416|364|00030100000|VII|8820
01|01009|416|364|00030100000|VN|2940
01|01009|416|364|00030100000|VR|5880
01|01009|416|364|00050100000|CSCCC|11760
01|01009|416|364|00050100000|VB|4998
01|01009|416|364|00050100000|VII|8820
01|01009|416|364|00050100000|VN|2940
01|01009|416|364|00050100000|VR|5880
01|01009|416|364|00080100000|CSCCC|11760
01|01009|416|364|00080100000|VB|4998
01|01009|416|364|00080100000|VII|8820
01|01009|416|364|00080100000|VN|2940
01|01009|416|364|00080100000|VR|5880
01|01009|416|364|00090100900|CSCCC|11760
01|01009|416|364|00090100900|VB|4998
01|01009|416|364|00090100900|VII|8820
01|01009|416|364|00090100900|VN|2940
01|01009|416|364|00090100900|VR|5880
01|01010|434|394|00010000000|CSCCC|13800
01|01010|434|394|00010000000|VB|5865
01|01010|434|394|00010000000|VII|10350
01|01010|434|394|00010000000|VN|3450
01|01010|434|394|00010000000|VR|6900
01|01010|434|394|00020100000|CSCCC|13800
01|01010|434|394|00020100000|VB|5865
01|01010|434|394|00020100000|VII|10350
01|01010|434|394|00020100000|VN|3450
01|01010|434|394|00020100000|VR|6900
01|01010|434|394|00030100000|CSCCC|13800
01|01010|434|394|00030100000|VB|5865
01|01010|434|394|00030100000|VII|10350
01|01010|434|394|00030100000|VN|3450
01|01010|434|394|00030100000|VR|6900
01|01010|434|394|00050100000|CSCCC|13800
01|01010|434|394|00050100000|VB|5865
01|01010|434|394|00050100000|VII|10350
01|01010|434|394|00050100000|VN|3450
01|01010|434|394|00050100000|VR|6900
01|01010|434|394|00080100000|CSCCC|13800
01|01010|434|394|00080100000|VB|5865
01|01010|434|394|00080100000|VII|10350
01|01010|434|394|00080100000|VN|3450
01|01010|434|394|00080100000|VR|6900
01|01010|434|394|00090101000|CSCCC|13800
01|01010|434|394|00090101000|VB|5865
01|01010|434|394|00090101000|VII|10350
01|01010|434|394|00090101000|VN|3450
01|01010|434|394|00090101000|VR|6900
01|01011|485|436|00010000000|CSCCC|14840
01|01011|485|436|00010000000|VB|6307
01|01011|485|436|00010000000|VII|11130
01|01011|485|436|00010000000|VN|3710
01|01011|485|436|00010000000|VR|7420
01|01011|485|436|00020100000|CSCCC|14840
01|01011|485|436|00020100000|VB|6307
01|01011|485|436|00020100000|VII|11130
01|01011|485|436|00020100000|VN|3710
01|01011|485|436|00020100000|VR|7420
01|01011|485|436|00030100000|CSCCC|14840
01|01011|485|436|00030100000|VB|6307
01|01011|485|436|00030100000|VII|11130
01|01011|485|436|00030100000|VN|3710
01|01011|485|436|00030100000|VR|7420
01|01011|485|436|00050100000|CSCCC|14840
01|01011|485|436|00050100000|VB|6307
01|01011|485|436|00050100000|VII|11130
01|01011|485|436|00050100000|VN|3710
01|01011|485|436|00050100000|VR|7420
01|01011|485|436|00080100000|CSCCC|14840
01|01011|485|436|00080100000|VB|6307
01|01011|485|436|00080100000|VII|11130
01|01011|485|436|00080100000|VN|3710
01|01011|485|436|00080100000|VR|7420
01|01011|485|436|00090101100|CSCCC|14840
01|01011|485|436|00090101100|VB|6307
01|01011|485|436|00090101100|VII|11130
01|01011|485|436|00090101100|VN|3710
01|01011|485|436|00090101100|VR|7420
01|01012|542|478|00010000000|CSCCC|17080
01|01012|542|478|00010000000|VB|7259
01|01012|542|478|00010000000|VII|12810
01|01012|542|478|00010000000|VN|4270
01|01012|542|478|00010000000|VR|8540
01|01012|542|478|00020100000|CSCCC|17080
01|01012|542|478|00020100000|VB|7259
01|01012|542|478|00020100000|VII|12810
01|01012|542|478|00020100000|VN|4270
01|01012|542|478|00020100000|VR|8540
01|01012|542|478|00030100000|CSCCC|17080
01|01012|542|478|00030100000|VB|7259
01|01012|542|478|00030100000|VII|12810
01|01012|542|478|00030100000|VN|4270
01|01012|542|478|00030100000|VR|8540
01|01012|542|478|00050100000|CSCCC|17080
01|01012|542|478|00050100000|VB|7259
01|01012|542|478|00050100000|VII|12810
01|01012|542|478|00050100000|VN|4270
01|01012|542|478|00050100000|VR|8540
01|01012|542|478|00080100000|CSCCC|17080
01|01012|542|478|00080100000|VB|7259
01|01012|542|478|00080100000|VII|12810
01|01012|542|478|00080100000|VN|4270
01|01012|542|478|00080100000|VR|8540
01|01012|542|478|00090101200|CSCCC|17080
01|01012|542|478|00090101200|VB|7259
01|01012|542|478|00090101200|VII|12810
01|01012|542|478|00090101200|VN|4270
01|01012|542|478|00090101200|VR|8540
01|01013|631|565|00010000000|CSCCC|19840
01|01013|631|565|00010000000|VB|8432
01|01013|631|565|00010000000|VII|14880
01|01013|631|565|00010000000|VN|4960
01|01013|631|565|00010000000|VR|9920
01|01013|631|565|00020100000|CSCCC|19840
01|01013|631|565|00020100000|VB|8432
01|01013|631|565|00020100000|VII|14880
01|01013|631|565|00020100000|VN|4960
01|01013|631|565|00020100000|VR|9920
01|01013|631|565|00030100000|CSCCC|19840
01|01013|631|565|00030100000|VB|8432
01|01013|631|565|00030100000|VII|14880
01|01013|631|565|00030100000|VN|4960
