CODIGO_PROVINCIA|CODIGO_MUNICIPIO|FECHA_COMPUTADO|CODIGO_CATEGORIA|CODIGO_PARTIDO|CODIGO_LISTA|NOMBRE_LISTA|VOTOS_LISTA
01|01001|26-JUL-19 06.02.58.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|30
01|01001|26-JUL-19 06.02.59.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|18
01|01001|26-JUL-19 06.03.01.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|19
01|01001|26-JUL-19 06.03.02.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|35
01|01001|26-JUL-19 06.03.04.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|48
01|01001|26-JUL-19 06.03.07.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|38
01|01001|26-JUL-19 06.03.08.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|20
01|01001|26-JUL-19 06.03.09.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|10
01|01001|26-JUL-19 06.03.11.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|9
01|01001|26-JUL-19 06.03.12.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|48
01|01001|26-JUL-19 06.03.13.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|14
01|01001|26-JUL-19 06.03.14.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|22
01|01001|26-JUL-19 06.03.18.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|17
01|01001|26-JUL-19 06.03.21.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|55
01|01001|26-JUL-19 06.03.22.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|151
01|01001|26-JUL-19 06.03.27.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|18
01|01001|26-JUL-19 06.03.28.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|44
01|01001|26-JUL-19 06.03.29.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|170
01|01001|26-JUL-19 06.03.31.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|23
01|01001|26-JUL-19 06.03.35.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|1
01|01001|26-JUL-19 06.03.36.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|120
01|01001|26-JUL-19 06.03.37.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|94
01|01001|26-JUL-19 06.03.38.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|41
01|01001|26-JUL-19 06.03.39.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|51
01|01001|26-JUL-19 06.03.40.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|35
01|01001|26-JUL-19 06.03.42.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|20
01|01001|26-JUL-19 06.03.43.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|15
01|01001|26-JUL-19 06.03.45.000000000 PM|00010000000|13|00010000000.13.A.00010000000.13|UNIDAD DE LA IZQUIERDA|12
