CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|00010000000|13|1567704|17365500|9.02
00000000|00010000000|131|1611721|17365500|9.28
00000000|00010000000|132|1607644|17365500|9.25
00000000|00010000000|133|1609137|17365500|9.26
00000000|00010000000|135|1604565|17365500|9.23
00000000|00010000000|136|1604781|17365500|9.24
00000000|00010000000|137|1592641|17365500|9.17
00000000|00010000000|36|1603904|17365500|9.23
00000000|00010000000|57|1611614|17365500|9.28
00000000|00010000000|87|1651289|17365500|9.50
00000000|00020100000|01-187|82005|1277329|6.42
00000000|00020100000|01-262|84335|1277329|6.60
00000000|00020100000|01-343|84553|1277329|6.61
00000000|00020100000|01-501|85427|1277329|6.68
00000000|00020100000|01-502|83752|1277329|6.55
00000000|00020100000|01-503|84639|1277329|6.62
00000000|00020100000|01-504|167980|1277329|13.15
00000000|00020100000|13|83427|1277329|6.53
00000000|00020100000|36|83248|1277329|6.51
00000000|00020100000|5|84661|1277329|6.62
00000000|00020100000|86|84860|1277329|6.64
00000000|00020100000|87|85950|1277329|6.72
00000000|00020100000|88|86833|1277329|6.79
00000000|00020600000|06-156|33784|485780|6.95
00000000|00020600000|06-179|34252|485780|7.05
00000000|00020600000|06-180|35571|485780|7.32
00000000|00020600000|06-501|139575|485780|28.73
00000000|00020600000|06-502|34787|485780|7.16
00000000|00020600000|06-503|67551|485780|13.90
00000000|00020600000|06-504|34122|485780|7.02
00000000|00020600000|33|34820|485780|7.16
00000000|00020600000|71|34938|485780|7.19
00000000|00020800000|08-501|62850|561371|11.19
00000000|00020800000|08-502|195247|561371|34.78
00000000|00020800000|13|67074|561371|11.94
00000000|00020800000|50|128136|561371|22.82
00000000|00020800000|68|66023|561371|11.76
00000000|00021500000|13|32913|261277|12.59
00000000|00021500000|15-151|69198|261277|26.48
00000000|00021500000|15-501|36391|261277|13.92
00000000|00021500000|15-502|34583|261277|13.23
00000000|00021500000|15-503|34718|261277|13.28
00000000|00021500000|15-504|33907|261277|12.97
00000000|00021600000|13|54222|244479|22.17
00000000|00021600000|16-169|57769|244479|23.62
00000000|00021600000|16-502|55010|244479|22.50
00000000|00021600000|16-503|59169|244479|24.20
00000000|00021700000|17-501|178488|580439|30.75
00000000|00021700000|17-502|86665|580439|14.93
00000000|00021700000|17-503|89927|580439|15.49
00000000|00021700000|17-504|90213|580439|15.54
00000000|00021700000|19|91677|580439|15.79
00000000|00022200000|22-178|40705|393845|10.33
00000000|00022200000|22-179|39978|393845|10.15
00000000|00022200000|22-501|39097|393845|9.92
00000000|00022200000|22-502|40665|393845|10.32
00000000|00022200000|22-503|81231|393845|20.62
00000000|00022200000|38|40046|393845|10.16
00000000|00022200000|40|41110|393845|10.43
00000000|00022200000|87|41518|393845|10.54
00000000|00022400000|24-187|8196|75818|10.81
00000000|00022400000|24-203|8938|75818|11.78
00000000|00022400000|24-501|8459|75818|11.15
00000000|00022400000|24-502|26592|75818|35.07
00000000|00022400000|24-503|9472|75818|12.49
00000000|00022400000|69|8483|75818|11.18
00000000|00030100000|01-187|82772|1277329|6.48
00000000|00030100000|01-262|83788|1277329|6.55
00000000|00030100000|01-343|84000|1277329|6.57
00000000|00030100000|01-501|83875|1277329|6.56
00000000|00030100000|01-502|85617|1277329|6.70
00000000|00030100000|01-503|85173|1277329|6.66
00000000|00030100000|01-504|169984|1277329|13.30
00000000|00030100000|13|84056|1277329|6.58
00000000|00030100000|36|83559|1277329|6.54
00000000|00030100000|5|84870|1277329|6.64
00000000|00030100000|86|82919|1277329|6.49
00000000|00030100000|87|85057|1277329|6.65
00000000|00030100000|88|86000|1277329|6.73
00000000|00030200000|02-207|383550|6443168|5.95
00000000|00030200000|02-276|398087|6443168|6.17
00000000|00030200000|02-309|397840|6443168|6.17
00000000|00030200000|02-312|397492|6443168|6.16
00000000|00030200000|02-314|397858|6443168|6.17
00000000|00030200000|02-315|396956|6443168|6.16
00000000|00030200000|02-503|396783|6443168|6.15
00000000|00030200000|02-504|398967|6443168|6.19
00000000|00030200000|02-505|401109|6443168|6.22
00000000|00030200000|02-792|396184|6443168|6.14
00000000|00030200000|02-816|396271|6443168|6.15
00000000|00030200000|133|396474|6443168|6.15
00000000|00030200000|135|396837|6443168|6.15
00000000|00030200000|137|396508|6443168|6.15
00000000|00030200000|79|409724|6443168|6.35
00000000|00030300000|03-183|17773|156176|11.38
00000000|00030300000|03-198|18141|156176|11.61
00000000|00030300000|03-218|18153|156176|11.62
00000000|00030300000|03-501|18147|156176|11.61
00000000|00030300000|03-503|16859|156176|10.79
00000000|00030300000|03-504|18050|156176|11.55
00000000|00030300000|03-505|18635|156176|11.93
00000000|00030300000|03-506|18722|156176|11.98
00000000|00030400000|04-217|96755|1495703|6.46
00000000|00030400000|04-501|196498|1495703|13.13
00000000|00030400000|04-502|298108|1495703|19.93
00000000|00030400000|04-503|100212|1495703|6.69
00000000|00030400000|04-504|97702|1495703|6.53
00000000|00030400000|04-505|99734|1495703|6.66
00000000|00030400000|04-506|98281|1495703|6.57
00000000|00030400000|13|98487|1495703|6.58
00000000|00030400000|23|97918|1495703|6.54
00000000|00030400000|57|98633|1495703|6.59
00000000|00030400000|87|101362|1495703|6.77
00000000|00030500000|05-216|31516|430392|7.32
00000000|00030500000|05-501|200611|430392|46.61
00000000|00030500000|05-502|98638|430392|22.91
00000000|00030500000|05-503|67395|430392|15.65
00000000|00030600000|06-156|31307|485780|6.44
00000000|00030600000|06-179|32470|485780|6.68
00000000|00030600000|06-180|32644|485780|6.71
00000000|00030600000|06-501|157912|485780|32.50
00000000|00030600000|06-502|32348|485780|6.65
00000000|00030600000|06-503|64972|485780|13.37
00000000|00030600000|06-504|32207|485780|6.62
00000000|00030600000|33|31525|485780|6.48
00000000|00030600000|71|34015|485780|7.00
00000000|00030700000|07-151|24949|215877|11.55
00000000|00030700000|07-152|24050|215877|11.14
00000000|00030700000|07-501|24951|215877|11.55
00000000|00030700000|07-502|49906|215877|23.11
00000000|00030700000|07-503|50931|215877|23.59
00000000|00030700000|07-504|24923|215877|11.54
00000000|00030800000|08-501|64973|561371|11.57
00000000|00030800000|08-502|195029|561371|34.74
00000000|00030800000|13|63062|561371|11.23
00000000|00030800000|50|132577|561371|23.61
00000000|00030800000|68|63689|561371|11.34
00000000|00030900000|09-501|31608|213380|14.81
00000000|00030900000|09-502|32248|213380|15.11
