CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|160477|22416030|0.71
00000000|000100000000000|131|589674|22416030|2.63
00000000|000100000000000|132|53890|22416030|0.24
00000000|000100000000000|133|647425|22416030|2.88
00000000|000100000000000|135|7227332|22416030|32.24
00000000|000100000000000|136|10616685|22416030|47.36
00000000|000100000000000|137|1871338|22416030|8.34
00000000|000100000000000|36|26434|22416030|0.11
00000000|000100000000000|57|33788|22416030|0.15
00000000|000100000000000|87|497335|22416030|2.21
00000000|000201000000000|01-187|23969|1871781|1.28
00000000|000201000000000|01-262|5111|1871781|0.27
00000000|000201000000000|01-343|3785|1871781|0.20
00000000|000201000000000|01-501|78802|1871781|4.21
00000000|000201000000000|01-502|595383|1871781|31.80
00000000|000201000000000|01-503|849633|1871781|45.39
00000000|000201000000000|01-504|140537|1871781|7.50
00000000|000201000000000|13|18004|1871781|0.96
00000000|000201000000000|5|17275|1871781|0.92
00000000|000201000000000|86|1902|1871781|0.10
00000000|000201000000000|87|58721|1871781|3.13
00000000|000201000000000|88|1956|1871781|0.10
00000000|000206000000000|06-156|17246|498274|3.46
00000000|000206000000000|06-179|2520|498274|0.50
00000000|000206000000000|06-180|1621|498274|0.32
00000000|000206000000000|06-501|299540|498274|60.11
00000000|000206000000000|06-502|2496|498274|0.50
00000000|000206000000000|06-503|126680|498274|25.42
00000000|000206000000000|06-504|11802|498274|2.36
00000000|000206000000000|33|4108|498274|0.82
00000000|000206000000000|71|6418|498274|1.28
00000000|000208000000000|08-501|350992|791078|44.36
00000000|000208000000000|08-502|289132|791078|36.54
00000000|000208000000000|13|7191|791078|0.90
00000000|000208000000000|50|68066|791078|8.60
00000000|000208000000000|68|17305|791078|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3725|375510|0.99
00000000|000216000000000|16-169|110734|375510|29.48
00000000|000216000000000|16-502|165129|375510|43.97
00000000|000216000000000|16-503|12237|375510|3.25
00000000|000217000000000|17-501|300879|621458|48.41
00000000|000217000000000|17-502|112616|621458|18.12
00000000|000217000000000|17-503|140626|621458|22.62
00000000|000217000000000|17-504|21037|621458|3.38
00000000|000217000000000|19|28499|621458|4.58
00000000|000222000000000|22-178|3725|530086|0.70
00000000|000222000000000|22-179|2945|530086|0.55
00000000|000222000000000|22-501|299581|530086|56.51
00000000|000222000000000|22-502|106357|530086|20.06
00000000|000222000000000|22-503|71405|530086|13.47
00000000|000222000000000|38|5384|530086|1.01
00000000|000222000000000|40|14388|530086|2.71
00000000|000222000000000|87|3777|530086|0.71
00000000|000224000000000|24-187|4562|89131|5.11
00000000|000224000000000|24-203|2530|89131|2.83
00000000|000224000000000|24-501|36867|89131|41.36
00000000|000224000000000|24-502|15411|89131|17.29
00000000|000224000000000|24-503|11136|89131|12.49
00000000|000224000000000|69|8174|89131|9.17
00000000|000301000000000|01-187|30974|1871454|1.65
00000000|000301000000000|01-262|5080|1871454|0.27
00000000|000301000000000|01-343|3797|1871454|0.20
00000000|000301000000000|01-501|88259|1871454|4.71
00000000|000301000000000|01-502|584109|1871454|31.21
00000000|000301000000000|01-503|841307|1871454|44.95
00000000|000301000000000|01-504|140588|1871454|7.51
00000000|000301000000000|13|17547|1871454|0.93
00000000|000301000000000|5|17315|1871454|0.92
00000000|000301000000000|86|1933|1871454|0.10
00000000|000301000000000|87|57877|1871454|3.09
00000000|000301000000000|88|2092|1871454|0.11
00000000|000302000000000|02-207|14034|8352241|0.16
00000000|000302000000000|02-276|62233|8352241|0.74
00000000|000302000000000|02-309|9886|8352241|0.11
00000000|000302000000000|02-312|21135|8352241|0.25
00000000|000302000000000|02-314|7196|8352241|0.08
00000000|000302000000000|02-315|1652|8352241|0.01
00000000|000302000000000|02-503|4072482|8352241|48.75
00000000|000302000000000|02-816|18527|8352241|0.22
00000000|000302000000000|133|305549|8352241|3.65
00000000|000302000000000|135|2596239|8352241|31.08
00000000|000302000000000|137|564864|8352241|6.76
00000000|000302000000000|79|8085|8352241|0.09
00000000|000303000000000|03-183|753|138272|0.54
00000000|000303000000000|03-198|405|138272|0.29
00000000|000303000000000|03-218|601|138272|0.43
00000000|000303000000000|03-501|855|138272|0.61
00000000|000303000000000|03-503|78372|138272|56.67
00000000|000303000000000|03-504|6403|138272|4.63
00000000|000303000000000|03-505|1636|138272|1.18
00000000|000303000000000|03-506|35767|138272|25.86
00000000|000304000000000|04-217|48447|2004941|2.41
00000000|000304000000000|04-501|9250|2004941|0.46
00000000|000304000000000|04-502|824873|2004941|41.14
00000000|000304000000000|04-503|335894|2004941|16.75
00000000|000304000000000|04-504|61152|2004941|3.05
00000000|000304000000000|04-505|465919|2004941|23.23
00000000|000304000000000|04-506|103678|2004941|5.17
00000000|000304000000000|13|15877|2004941|0.79
00000000|000304000000000|23|2859|2004941|0.14
00000000|000304000000000|57|7301|2004941|0.36
00000000|000304000000000|87|41791|2004941|2.08
00000000|000305000000000|05-216|273|13325|2.04
00000000|000305000000000|05-501|9077|13325|68.12
00000000|000305000000000|05-502|3185|13325|23.90
00000000|000305000000000|05-503|420|13325|3.15
00000000|000306000000000|06-156|17060|495306|3.44
00000000|000306000000000|06-179|2619|495306|0.52
00000000|000306000000000|06-180|1687|495306|0.34
00000000|000306000000000|06-501|294033|495306|59.36
00000000|000306000000000|06-502|2721|495306|0.54
00000000|000306000000000|06-503|126780|495306|25.59
00000000|000306000000000|06-504|11661|495306|2.35
00000000|000306000000000|33|4112|495306|0.83
00000000|000306000000000|71|6438|495306|1.29
00000000|000307000000000|07-151|6318|280532|2.25
00000000|000307000000000|07-152|17259|280532|6.15
00000000|000307000000000|07-501|114814|280532|40.92
00000000|000307000000000|07-502|30723|280532|10.95
00000000|000307000000000|07-503|64136|280532|22.86
00000000|000307000000000|07-504|10752|280532|3.83
00000000|000308000000000|08-501|347879|789435|44.06
00000000|000308000000000|08-502|288457|789435|36.53
00000000|000308000000000|13|7183|789435|0.90
00000000|000308000000000|50|68291|789435|8.65
00000000|000308000000000|68|17812|789435|2.25
00000000|000309000000000|09-501|199157|309221|64.40
