CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|1167
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|1742
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|375
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|4318
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|53811
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|41754
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|8185
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|140
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|158
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|4055
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1308
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|390
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|277
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|4550
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|39958
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|53783
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|7121
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|1016
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|1718
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|134
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|3634
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|159
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1662
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|388
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|262
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5084
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|39181
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|53480
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|7128
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|985
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|1695
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|133
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|3550
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|175
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1259
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|4464
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40361
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|55600
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|6973
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|984
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|25
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|181
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1316
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|4784
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39826
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|54140
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|6766
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|1010
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|1635
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|3380
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|8
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|196
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|4873
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|39803
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|54192
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|6783
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|1043
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|1627
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|788
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1635
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|161
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|2440
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|59516
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|18283
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|6104
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|68
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|60
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|3340
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|720
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|185
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|102
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2618
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|17550
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|58501
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|5092
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|667
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|2747
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|65
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|2942
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|64
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1019
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|185
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|97
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|3028
01|01002|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|17194
01|01002|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|58398
01|01002|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|5144
01|01002|000301000000000|13|000301000000000.13.A.000301000000000.13|646
01|01002|000301000000000|5|000301000000000.5.A.000301000000000.5|2684
01|01002|000301000000000|86|000301000000000.86.A.000301000000000.86|65
01|01002|000301000000000|87|000301000000000.87.A.000301000000000.87|2876
01|01002|000301000000000|88|000301000000000.88.1A.000301000000000.88|77
01|01002|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|690
01|01002|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|2516
01|01002|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|17737
01|01002|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|60783
01|01002|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|4966
01|01002|000501000000000|13|000501000000000.13.A.000501000000000.13|627
01|01002|000501000000000|87|000501000000000.87.B.000501000000000.87|4
01|01002|000501000000000|88|000501000000000.88.1A.000501000000000.88|81
01|01002|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|717
01|01002|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|2676
01|01002|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|17441
01|01002|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|58960
01|01002|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|4757
01|01002|000801000000000|13|000801000000000.13.A.000801000000000.13|641
01|01002|000801000000000|5|000801000000000.5.A.000801000000000.5|2544
01|01002|000801000000000|87|000801000000000.87.A.000801000000000.87|2713
01|01002|000801000000000|87|000801000000000.87.B.000801000000000.87|24
01|01002|000801000000000|88|000801000000000.88.1A.000801000000000.88|93
01|01002|000901002000000|01-501|000901002000000.01-501.A.000901002000000.01-501|2708
01|01002|000901002000000|01-502|000901002000000.01-502.A.000901002000000.01-502|17464
01|01002|000901002000000|01-503|000901002000000.01-503.A.000901002000000.01-503|59024
01|01002|000901002000000|01-504|000901002000000.01-504.A.000901002000000.01-504|4764
01|01002|000901002000000|13|000901002000000.13.A.000901002000000.13|652
01|01002|000901002000000|5|000901002000000.5.A.000901002000000.5|2527
01|01003|000100000000000|13|000100000000000.13.A.000100000000000.13|1355
01|01003|000100000000000|131|000100000000000.131.A.000100000000000.131|1396
01|01003|000100000000000|132|000100000000000.132.A.000100000000000.132|398
01|01003|000100000000000|133|000100000000000.133.A.000100000000000.133|5004
01|01003|000100000000000|135|000100000000000.135.A.000100000000000.135|45539
01|01003|000100000000000|136|000100000000000.136.A.000100000000000.136|42131
01|01003|000100000000000|137|000100000000000.137.A.000100000000000.137|9468
01|01003|000100000000000|36|000100000000000.36.A.000100000000000.36|185
01|01003|000100000000000|57|000100000000000.57.A.000100000000000.57|145
01|01003|000100000000000|87|000100000000000.87.A.000100000000000.87|3982
01|01003|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1480
01|01003|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|389
01|01003|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|265
01|01003|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|5313
01|01003|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|40374
01|01003|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|46236
01|01003|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|8145
01|01003|000201000000000|13|000201000000000.13.A.000201000000000.13|1152
01|01003|000201000000000|5|000201000000000.5.A.000201000000000.5|961
01|01003|000201000000000|86|000201000000000.86.A.000201000000000.86|158
01|01003|000201000000000|87|000201000000000.87.A.000201000000000.87|3561
01|01003|000201000000000|88|000201000000000.88.1A.000201000000000.88|162
01|01003|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1873
01|01003|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|390
01|01003|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|266
01|01003|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5924
01|01003|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|39629
01|01003|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|45762
01|01003|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|8100
01|01003|000301000000000|13|000301000000000.13.A.000301000000000.13|1122
01|01003|000301000000000|5|000301000000000.5.A.000301000000000.5|981
01|01003|000301000000000|86|000301000000000.86.A.000301000000000.86|157
01|01003|000301000000000|87|000301000000000.87.A.000301000000000.87|3516
01|01003|000301000000000|88|000301000000000.88.1A.000301000000000.88|178
01|01003|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1462
01|01003|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|5175
01|01003|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40511
01|01003|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|47173
01|01003|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|7948
01|01003|000501000000000|13|000501000000000.13.A.000501000000000.13|1112
01|01003|000501000000000|87|000501000000000.87.B.000501000000000.87|23
01|01003|000501000000000|88|000501000000000.88.1A.000501000000000.88|172
01|01003|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1498
01|01003|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|5562
01|01003|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39885
01|01003|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|46088
01|01003|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|7718
01|01003|000801000000000|13|000801000000000.13.A.000801000000000.13|1126
