CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01005|460|19|000100000000000|VB|19
01|01005|460|19|000100000000000|VII|19
01|01005|460|19|000100000000000|VN|19
01|01005|460|19|000100000000000|VR|19
01|01005|460|19|000201000000000|VB|19
01|01005|460|19|000201000000000|VII|19
01|01005|460|19|000201000000000|VN|19
01|01005|460|19|000201000000000|VR|19
01|01005|460|19|000301000000000|VB|19
01|01005|460|19|000301000000000|VII|19
01|01005|460|19|000301000000000|VN|19
01|01005|460|19|000301000000000|VR|19
01|01005|460|19|000501000000000|VB|19
01|01005|460|19|000501000000000|VII|19
01|01005|460|19|000501000000000|VN|19
01|01005|460|19|000501000000000|VR|19
01|01005|460|19|000801000000000|VB|19
01|01005|460|19|000801000000000|VII|19
01|01005|460|19|000801000000000|VN|19
01|01005|460|19|000801000000000|VR|19
01|01005|460|19|000901005000000|VB|19
01|01005|460|19|000901005000000|VII|19
01|01005|460|19|000901005000000|VN|19
01|01005|460|19|000901005000000|VR|19
